Question ,Question Id,Category,Country
What magnitude of mOS improvement would be required to achieve an ASMR IV or better (if prior expectation was ASMR V) ASMR III or better (if prior expectation was ASMR IV)? ,20.d,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"In case respondent mentions an HTA rating that precludes the inclusion of Product X in the liste en sus, remind the respondent of this implication, and pressure test that the respondent does believe that no inclusion in the liste en sus would happen ",21,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Moderator note: criteria for inclusion on liste en sus ,21.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"[KOL] If Product X is not included in liste en sus, to what extent would you use it? ",22,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"If Product X is granted “accès précoce” in 3L+ HER2+ aGC, but Product X’s EMA label is for 2L+ HER2+ aGC, how does this impact the TC’s assessment?  ",23,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"Could the manufacturer elect to only submit for reimbursement in 3L+, waiting to submit in 2L until a phase 3 head-to-head trial has been completed? Or would the TC require initial submission in both 2L and 3L+ knowing Trial A and Trial B are both available? ",24,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
What is the likelihood that the TC would restrict Product X to only 2L patients if the EMA labeled indication is for advanced HER2+ aGC patients who have received a prior regimen ,25,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
What would be the impact of the following additional evidence on the TC’s assessment? ,26,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"Real-world data generated from the early access scheme (acces precoce) in 3L+ HER2+ aGC in FR, specifically time to discontinuation or death, overall survival, quality-of-life self-questionnaire, specific adverse events. The data would be collected over ~16 months in ~100 3L+ patients.  ",26.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Indirect treatment comparisons provided at the time of TC review ,26.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"What if the indirect treatment comparison is in an all-comers population (i.e., does not distinguish between HER2+ and HER2-)? ",26.b.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"Moderator note: Product X performs better on mOS and mPFS than most 2L options (OS: HR=~0.2-0.5 versus other treatment options, >99% more likely to perform better than competitors) ",26.b.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Propensity score analysis ,26.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Propensity score analysis of Trial B compared to matched cohort treated with Cyramza plus paclitaxel based on Dutch Cancer Registry data ,26.c.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Propensity score analysis of Trial A matched to Trial B to extrapolate results of Trial A to a Caucasian population ,26.c.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Health economic deliverables: cost-effectiveness and budget impact models,26.d,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Moderator note: These are only required for ASMR III or better ,26.d.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Any others? ,26.e,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
How would the inclusion of Product X in the ESMO guidelines impact value perception? How would it impact your expectations for HTA outcomes? What about inclusion in national guidelines?  ,27,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Could innovative contracting address any of the TC’s concerns around Product X? ,28,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Which innovative schemes can be leveraged? Probe the following potential innovative access strategies: ,28.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"Conditional agreements based on product utilization: 

Patient caps (The total dose or cost per patient is capped – units consumed beyond the cap are provided for free) 

Duration-based contracts (Price per patient is reduced or increased over time or at specific patient milestones (e.g. price in the first four years of treatment is $100, after which it reduces to $80)) 

Cost-sharing (Manufacturer pays for the drug costs in the initial treatment phase. An alternative is paying for HRU costs (e.g. hospitalization) during initiation. Usually administered through rebates) 

Price/volume agreement / revenue cap (The price of the product is agreed on for a pre-defined volume of sales, beyond which a discount is applied. The repayment mechanism is usually a rebate or credit note, paid once the total annual sales are established) ",28.a.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"Outcomes based, conditional on costs or patient outcomes 

Performance-based (Common in oncology. Agreement that is contingent on the product resulting in certain patient relevant outcomes, which if not achieved will result in a rebate / price penalty) 

     Pay for response based on clinical outcomes 

    Pay for response based on adherence to treatment ",28.a.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Indication-based pricing (Usually administered through rebates. Ex: Avastin in IT (used in multiple indications) has indication-specific risk-sharing agreement; when used in advanced colorectal cancer an additional 7% applies along with an annual budget cap) ,28.a.iii,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
Price differentiation by line of treatment ,28.a.iv,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"What is your preference for the payback mechanism (i.e. upfront discount, rebate, payment/reimbursement contingent upon results)?  ",28.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"If implemented, would this be negotiated on top of a standard, straight discount?  ",28.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
[FR] What are the strategies to ensure an equitable availability of the product throughout the territory? ,29,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
What will be the outcome of the G-BA evaluation? ,30,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
Do you expect separate assessments or a single assessment for 2L and 3L+ patient populations? Please explain.,30.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
If separate assessments are expected: ,31,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
What is the expected benefit rating in the 3L+ HER2+ population? Why? ,31.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"Which product(s) might be included in the ACT?  

If irinotecan is included in ESMO guidelines and if patient data shows wide use in Germany, to what extent irinotecan could it become a relevant ACT for Product X? (Moderator note: irinotecan is a comparator in Trial A, leading to an added benefit) 

Probe: Lonsurf (Moderator note: G-BA early advice noted that ACT in 3L aGC is Lonsurf) 

What are further strategies for Irinotecan to be considered as an additional ACT for 3L+ mGC and how high is the likelihood? 

Moderator note: Probe for strategies beyond real-world evidence, clinical guidelines, and recommendation by KEEs (per DE affiliate request) 

Moderator Note: DE team hypothesis for 3L+ with added benefit= Irinotecan (low dosage), VAMs (informal comparators, Cyramza, Pembrolizumab, Lonsurf); For no added benefit in 3L+ DE team hypothesis is Lonsurf ",31.a.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"What is the impact of the following on the G-BA’s benefit assessment? 

Phase 2 design 

Asian population 

Clinical evidence: OS and ORR",31.a.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"To what extent might the G-BA conduct subgroup analysis for each treatment in the investigator’s choice comparator arm? What would be the implications on the benefit rating, and ACTs? ",31.a.iii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
What is the expected benefit rating in the 2L HER2+ population? Why? ,31.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"Which product(s) might be included in the ACT? 

Moderator Note: Early advise from the G-BA notes the following as ACTs: Irinotecan, Docetaxel, Paclitaxel, Cyramza (ramucirumab) + Paclitaxel. 

Moderator note: in case respondent does not mention Cyramza: Cyramza plus paclitaxel is included as a 2L aGC option in ESMO guidelines and has an EMA approved indication for 2L aGC. Would Cyramza be included in the ACT? 

Note for moderator awareness: other potential answers include irinotecan, docetaxel, paclitaxel 

Irinotecan: included as a 2L aGC option in ESMO guidelines and  

Docetaxel: EMA indicated for 1L aGC 

paclitaxel: used in combination with Cyramza in 2L aGC per EMA label and ESMO guidelines ",31.b.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"Moderator note: If no added benefit is awarded, Product X will be benchmarked against the cheapest agent within the ACT basket; probe for strategies that can mitigate price risk (e.g. going to arbitration board to request inclusion of Cyramza plus paclitaxel in pricing discussions based on real-world treatment patterns, or average of ACTs and not the cheapest agent) 

Probe: any risks of going for an arbitration board? (e.g., decreasing payer willingness to negotiate for future pipeline indications? Bad PR?) 

Probe: any successful case studies for price risk mitigation via going to the arbitration board ",31.b.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
Would the cost of Product X be covered by a G-DRG? Why or why not? ,32,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"If not included on a G-DRG, probe inclusion into NUB (temporary supplemental funding from sick funds for early access to new treatments prior to incorporation within the G-DRG) ",32.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"If the EMA label for Product X is for advanced HER2+ aGC patients who have received a prior after a HER2-targeting treatment, how will the G-BA interpret this? what is the likelihood that the G-BA will interpret this as only 2L patients? ",33,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
What would be the impact of the following additional evidence on the G-BA’s assessment: ,34,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
Quality of life data? ,34.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
Patient reported outcomes? ,34.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"Real-world data generated from the early access scheme (acces precoce) in 3L+ HER2+ aGC in FR, specifically time to discontinuation or death, overall survival, quality-of-life self-questionnaire, specific adverse events. The data would be collected over ~16 months in ~100 3L+ patients.  ",34.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"Indirect treatment comparisons? (if not directly, as a soft factor in HTA or pricing outcomes?) ",34.d,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
Moderator Note: the DE team notes that ITCs are not accepted in Germany in this trial setting. There is limited acceptability apart from Butcher ITC methodology ,34.d.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"What if the indirect treatment comparison is in an all-comers population (i.e., does not distinguish between HER2+ and HER2-)? What if it is not a Bucher methodology? ",34.d.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"Moderator note: Product X performs better on mOS and mPFS than most 2L options (OS: HR=~0.2-0.5 versus other treatment options, >99% more likely to perform better than competitors) ",34.d.iii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
Propensity score analysis of Trial B compared to matched cohort treated with Cyramza plus paclitaxel  ,34.e,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
Health economic deliverables: cost-effectiveness and budget impact models ,34.f,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
How would the inclusion of Product X in the ESMO guidelines impact value perception? How would it impact your expectations for HTA outcomes? What about inclusion in national guidelines?  ,35,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"Could innovative contracting, such as outcomes-based or finance-based innovative value schemes, address any of the G-BA’s concerns around Product X? ",36,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
Which innovative schemes can be leveraged? Probe the following potential innovative access strategies: ,36.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"Conditional agreements based on product utilization: 

Patient caps (The total dose or cost per patient is capped – units consumed beyond the cap are provided for free) 

Duration-based contracts (Price per patient is reduced or increased over time or at specific patient milestones (e.g. price in the first four years of treatment is $100, after which it reduces to $80)) 

Cost-sharing (Manufacturer pays for the drug costs in the initial treatment phase. An alternative is paying for HRU costs (e.g. hospitalisation) during initiation. Usually administered through rebates) 

Price/volume agreement / revenue cap (The price of the product is agreed on for a pre-defined volume of sales, beyond which a discount is applied. The repayment mechanism is usually a rebate or credit note, paid once the total annual sales are established) ",36.a.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"Outcomes based, conditional on costs or patient outcomes 

Performance-based (Common in oncology. Agreement that is contingent on the product resulting in certain patient relevant outcomes, which if not achieved will result in a rebate / price penalty) 

Pay for response based on clinical outcomes 

Pay for response based on adherence to treatment ",36.a.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
Indication-based pricing (Usually administered through rebates. Ex: Avastin in IT (used in multiple indications) has indication-specific risk-sharing agreement; when used in advanced colorectal cancer an additional 7% applies along with an annual budget cap) ,36.a.iii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
Price differentiation by line of treatment ,36.a.iv,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"What is your preference for the payback mechanism (i.e. upfront discount, rebate, payment/reimbursement contingent upon results)?  ",36.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
"If implemented, would this be negotiated on top of a standard, straight discount?  ",36.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
What is the likelihood of a time restricted resolution by G-BA? ,37,[Payer] aGC: Trial A & Trial B : HTA Assessment,Germany
What do you think the outcome of the AIFA evaluation will be?  ,38,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
What is the impact of a conditional approval on AIFA assessment? ,38.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Do you expect separate assessments for 2L and 3L+ patient populations? ,38.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"If yes, will AIFA consider physician’s choice of irinotecan or paclitaxel to be an appropriate comparator for Trial A?  ",38.b.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"What is the impact of the following attributes of Trial A on AIFA’s assessment? 

Phase 2 design 

Asian population 

Clinical evidence: OS and ORR ",38.b.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"If yes, what is the impact of the following attributes of Trial B on AIFA’s assessment? 

Phase 2 design 

Single-arm trial 

Moderator note if no coverage is expected because of the single-arm trial: Gavreto received reimbursement in November 2022 with SAT and OS and PFS as secondary endpoints 

Will Retsevmo and Lenvima be considered as case studies for AIFA with respect to single-arm pivotal trials and an Asian trial population? 

Clinical evidence: OS and ORR",38.b.iii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"If no, why do you expect AIFA to conduct 1 assessment for Product X?  ",38.b.iv,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
How important is cost-effectiveness and budget impact in the assessment? ,39,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
If separate assessments for 2L and 3L+ populations ,40,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"If Product X is expected to be reimbursed for 3L+ HER2+ aGC, what would you expect to be the level of innovation Product X can achieve for Trial A? Do you expect full innovative status or conditionally innovative status? ",40.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
What would be required for full innovation status? ,40.a.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
What would be required for conditionally innovation status? ,40.a.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"Besides mOS, what other endpoints or data would influence obtaining innovation status ",40.a.iii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"If Product X is expected to be reimbursed for 2L HER2+ aGC, what would you expect to be the level of innovation Product X can achieve for Trial B? Do you expect full innovative status or conditionally innovative status? ",40.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
What would be required for full innovation status? ,40.b.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
What would be required for conditionally innovation status? ,40.b.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"Besides mOS, what other endpoints or data would influence obtaining innovation status ",40.b.iii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
