user_id,question_id,answer,study_id
1,11.c,"For the biggest study its 200 patients from Asian pop and smaller is 100 patients US and EU. I think easier to launch trials in Asian pops as incidence and prevalence higher there so I think thatâ€™s why. I think the recruitment is better that's why. I think if you look at characteristics of patients in osophagyeal or GI cancer trials most come from Asian countries. Also important to test in non-Asian pops because some drugs, the efficacy could be different between Asian and non-Asian so important to confirm in non-Asian [so you would want results confirmed in Western pop?] yes. [thoughts on comparator?]for the comparator I think in 3L treatment these are good therapeutic options but the level of the recc is not as strong as the (trifluridine tipiracil - lonsurf) recommended therapy which is the drug that has really been tested in 3L RCT therapy. [Is pacli/irino only used if not used in 2L? If irino used in 2L maybe some 3L patients not eligible?] You have to use taxane if patient treated with irino in 2nd line.",DAI475
1,12.b,Better to have a randomized trial. If you have RCT in Asian pop and have results and want to confirm in non-Asian popthen makes sense to have a single arm. Always better to have a randomized trial but if want to confirm in a different population it would be nice to have this kind of study. Always nice to have a RCT when you want to demonstrate something. ,DAI475
1,12.b.i,[What would you want the comparator to be in 2L?] Tacsil and ramucirumab [even if not reimbursed in FR?] When you include patient in randomised trial will receive taxil ramu because it's provided by the clinical trial,DAI475
1,13,"Iâ€™m  a bit concerned about the pneumonitis. I want to know what are the MoA of this drug [ADC] we know with Enhertu we have approx. this % of ILD and we know we have to follow the patients closely and do a CT scan every 6 months and stop the drug if we have grade 1 ILD and start corticosteroid. You have to make the balance, clinical benefit vs risk of adverse event. Patients with aGC the prognosis is really bad. The ORR and survival results here the risk of AEs vs the clinical and survival benefit of this drug I would go for this drug but inform the physician and patient that the AE is possible and follow patient closely and stop the treatment early in case of AE.",DAI475
1,15,[any additional evidence not included?] Itâ€™s also important to have QoL for these patients treated in 3L and later lines. And to compare QoL for 3L treatment thatâ€™s the only thing lacking,DAI475
1,16.a.i,[theres a chance this product might be 2L or later indication by EMA] 3.5,DAI475
1,16.b.i,I expected higher response rate and mOS for 2nd line treatment so between 3 and 4,DAI475
1,16.c.i,"4, not 5 because not RCT, small study. Even if complicated to perform these kind of studies and in 3L we only have 20% of patients that are able to receive 3L treatment and HER2 is 15-20% so very  hard work but we need a larger ph3 RCT to confirm this data. This is why I will not go for 5 but for 4",DAI475
2,1,"yes (from WS) --- These numbers are a bit difficult for one physician in one town to know. I could tell you the percentage but I would have to calculate, I don't know the actual number. I don't know how you got the number of 500 per year. I know in Germany there are about, let's see. We are speaking about 2L HER2-positive GC. 2L and 3L. We have about 15,000 new cases of gastric cancer in Germany every year. [any type]? yes, any type of gastric cancer. Then probably metastatic are half of them let's guess. So that would be 7,000. And of the 7,000 around 15% are HER2-positive. About 1000 will be HER2-positive. From these around 800 will get 1L treatment and from the 800 50% will get a 2L treatment. So you are not so wrong. It is about this figure. I don't know how you got 484 but it roughly is about this range.",DAI475
2,1.a,ok (from WS),DAI475
2,2,"For now we didn't look if the patients in 2L were HER2 + or - as up to now it didn't matter. 2L treatment, we know that we have different options for 2L. We have chemotherapy vs best supportive care and we know that ChT is extending survival and prolonging a good quality of life. There are different options. The standard of care is paclitaxel-ramucirumab which is an active and moderately tolerable regimen. [soc?] Yes, it is the best investigated regimen but irinotecan and docetaxel are also investigated and can also be given. These guidelines we always quote these 3 drugs. But of course the response rate range around 20-25% which is not very good. So there is a high medical need of something better. But on the other hand it has to be well tolerated because in GC the patients deteriorate quite quickly and often in 2L the health status is not so good anymore. [3L?] In 3L officially we have this drug called Lonsurf, tipiracil-trifluridine, which is an oral component and is proven to be better than best supportive care. In Asia there is nivolumab registered but not in Europe and at the last ASCO GI conference there was regorafenib, trial Infinity I think it was called, I am not sure about the name. It was an Italian trial with regorafenib. No it is wrong. It is Integrate, Interate 2 was the name of the trial, an Australian trial. And it showed that regorafenib in 3L was improving survival compared to BSC.",DAI475
2,2.a,"3,4,2",DAI475
2,2.c,"The tumour given them fatigue, nausea, peritoneal carcinomatosis is a big problem and there are theories that peritoneal carcinomatosis is not responding so well to systemic chemotherapy because there is a barrier. The ChT is not reaching out to the peritoneal ceilings. These are the main problems.",DAI475
2,3.a,"4,3,2",DAI475
2,4,2,DAI475
2,4.a,"Yes that is sort of correct, that is all I said. [to paraphrase what you said so far: cyramza + paclitaxel sometimes docetaxel in 2L, and in 3L ?] or Irinotecan, and in 3L we would then give either the one we didn't give in 2L, so if we gave rampac in 2L we have irinotecan for 3L or if we gave irinotecan in 2L then we have rampac in 3L. Or we have ... [why cyramza 3L] Because sometimes patients have polyneuropathy after oxalitplatin, wich is the ususla component we give in 1L and if you have polyneuropathy already then paclitaxel is not the best drug because it increases the neuropathies. Sometimes you wait until the oxaliplatin-induced neuropathy gets better and you keep taxanes for later. And another thing is that we give in 1L in a patient which has a high need of remission we give a triple ChT in 1L, the so-called FLOT regimen with ...?? (9:015) oxaliplatin and docetaxel. If they had already FLOT so a taxane in 1L you won't give paclitaxel in 2L so easily.",DAI475
2,4.c,"Well that is what I said. Taxane limitation is polyneuropathy and pretreatment with other taxane. Ramucirumab limitation is fistula formation, and bleeding and thrombosis. Irinotecan limitation is diarrhea and liver funtion. [when you think about new products, what is it that you would like?] Well tolerated and better activity, easy to say.",DAI475
2,5.a,"4,4,3",DAI475
2,5.e,"[oncogenic drivers, not targeted right now, could become more sophistocate, in gatsric not as many drivers discovered] There are more and more drivers discovered in gastric cancer. There is Claudin18.2 which is now getting important for 1L treatment. There was a big trial which just ahd a positive OS benefit. There is FGFR2B overexpression with bevacituzumab(?) as a potential drug which is investigated in Ph3 studies so there are new markers as well. And in 2L - this is probably what you are aiming at - HER2 positivity is also relevant in 2L perhaps.",DAI475
2,6,Tucatinib I know that there are trials ongoing in GC as well combined tocatinib with trastuzumab and other drugs as well. And of course trastuzumab deruxtecan is well know which is registered from 22nd of December. We all have to get experience with this drug. Everyone is a bit worries with the pulmonary side effects which have been reported in some percept of patients but we have to get experience how frequent this really is. The other drugs I was not so much aware of.,DAI475
2,7,"I think trastuzumab deruxtecan everybody will try it. But in the trials it was compared to investgator's choice, there wasn't really a real H2H with paclitaxel ramucirumab. [prefer rampac comparison?] Well if I may quote you it is the SoC in 2L. As far as I remember it was only compared to paclitaxel monotherapy which is a good choice but paclitaxel ramucirumab was better than paclitaxel monotherapy. So heoretically we don't which is better but for clinical practice it doesn't matter because we can use one first and then the other or the other way around. And we don't know if it is important to retest for HER2-positivity.",DAI475
2,10,"It looks a little bit like trastuzumab deruxtecan with this interstitial lung disease and the frequency of 10%. The response rate is very high with 50% ORR in Asian population in 3L setting that is really unbelievably high. We would ask how these patients were pretreated. Most have a fluropyrimidine agent and platin agent. Well I guess most get paclitaxel in 2L, rampac probably not because it was investigator's choice to give paclitaxel in 3L. Anyway it is a high response and a very very long mOS of 12.5mo. This is really long ecause this is sort of the range we have for 1L treatment. We have a range of 12 mo OS. So here for 3L 12 mo they should be highly selected patients. Only the fittest of the fittest who are included in the trial. Usually the European patients in the 3L setting if they have been pretreated with oxaliplatin-5-FU and paclitaxel ramucirumab in 3L setting they have a median survival of 3 mo and not 12 mo. This is a highly selected group.",DAI475
2,11.b,"[you mentioned earlier you wanted the comparison with ramucirumab] this was for 2L, but here in 3L you don't need to compare it to ramucirumab. Theoretically patients should be pretreated with oxaliplatin-5-FU and perhaps paclitaxel-ramucirumab. And in 3L you can compare it to irinotecan. it is okay how it is designed but it would be even fairer if they were all pretreated with paclitaxel-ramucirumab. And in Asian population the survival is often much much longer and often they give only a single Asian treatment as palliative treatment so it is different whether they got platin-5-FU in a combination or they first got only monotherapy of 5-FU or S1 and then monotherapy of platinum, that is important to know.",DAI475
2,11.c,"It is a long debate whether it is the same sort of disease because they often have a much longer survival as I said. And it is difficult, usually data from an Asian only population is not so easily transferable to a Caucasian population. [you donâ€™t think it is] no, for registration purposes it is not enough anyways, and even for physicians if there are no Caucasian patients included and we wouldn't have data for caucasian patients it is a bit difficult. but that is why you have trial B. [basline characteristics are the smae, same prior therapy, simialr outcomes, what do you think of that argument] trial B is only a 2L treatment because ususally as I said in Europe and the US they get a combination treatment before but it is okay. It sort of looks like the DESTINY01 and 02 trials. It is convincing that the response rate is very very high, as I said it is a very selected group but the drug seems to be very active anyway. And probably in real life the response rate will be a little bit less but we obviously have a very active drug. [you would still use it] yes.",DAI475
2,12.b,"It's SAT, it reminds me of the DESTINY-02. There it wsa only 79 patients as I remember and not 100. It is confirmatory that it is an active drug also in Caucasians and as you said it is not much different the response rate from an Asian population so it is very unlikeley that there is a real difference between those 2 groups. It is a very important piece of information.",DAI475
2,13,"This interstitial lung disease is a bit worrying and from the DESTINY-02 trial, if it would be this there were 2 patients dying from 79. Here it says 10% pneumonitis, there are no deaths reported in trial B, I donâ€™t know. We don't know whether it is Dxd. we need to get experience with the drug. In breast cancer it is already in use but not so many people have so good experience with it.",DAI475
2,13.a,"The side effects of pneumonitis the incidence is low. We would just hope for our patients that they don't get it and for prescribing it is more important important how it is tolerated in general life. That it is not so much giving you nausea, vomoting, diarrhea, and these other things all the other ChT do, and fatigue. And if this is less and here it seems to be otherwise quite well tolerated then the 10% of pneumonitis is severe but we would jut hope it doesn't happen and it wouldn't affect our attempt to use the drug.",DAI475
2,14.a,"I don't know, if you talk about the DESTINY trials it was just the other way around. So you are saying DESTINY-02 was first and 01 is supportive. [clarifying question again] Yes I know what you are saying but the historical way was different. The trial A was first and the trial B was later but I would say it is easier to get registration at the EMA with a randomised trial and argue that there is no difference between Asians and Caucasians and use trial B as support for this argument that there is no difference. I think this is more logical than the other way around, than to say with this pivotal trial, non-randomised SAT trial we want to get our registration for Europe and use a randomised trial to support this claim. I think that is not so promising. I think in Europe as far as I know they dont give registration, different from the US, for a non-randomised trial so you would need the randomised trial to hope for regitration and use the trial b to support that there is no difference between Asians and Caucasians.",DAI475
2,14.a.ii,"No no I just said that trial A is important. I just said the opposite, I just said that you only have a chance for registration if you put all your emphasis on a randomised controlled trial.",DAI475
2,15,"[trial c] well that is the trial we were just talking about. [yes exaclty so what do you think now?] well it would be a very good trial idea, it would answer all our questions. But it is difficult as I said to get this tial filled, perhaps only in Eastern bloc countries where they don't have access to product X. If it is the trial I am thinking about, in some trials they recommend rebiopsy of the tumour to test if the tumour is still HER2  positive. the registration now you don't need to retest the tumour, her2-positiviy in the primary tumour is enough but in some trials they want rebiopsy. and this makes it even more difficult to fill the trial if you have to rebiopsy the patient first. [when required ususally 2L to 3L?] No between 1L and 2L. [if drug launched on basis of trial A and B but you knew trial C would be available, would use in 2L or wait for trial C finish] I think many of us would use it I would say in 2L or 3L. The trial c is scientifically very valuable but it is dead.",DAI475
2,16,3 I would say [ for 2L and 3L?] For both I would say 3,DAI475
2,16.a.i,3,DAI475
2,16.b.i,3,DAI475
2,16.c.i,3,DAI475
2,16.d,"Well everything I said before. The comparator arm is, The one trial A is Asian and highly selected and with survival data I have never seen before in any 3L trial so it shows that it is a highly highly selected population. And the same is for trial B, trial b is a non-randomised trial and also a highly selected population obviously. So it is very promising but so far I would say it is a good but moderate therapeutic improvement with a meaningful benefit.",DAI475
2,16.e,"The best would be a randomised trial in Caucasian population for 2L treatment compared to paclitaxel ramucirumab which is difficult to get now because it is now registered in Europe. There is a trial if the drug we are thinking about there is a trial running exactly with this design, it is difficult to recruit this to fill it with patients because now the drug is registered and it is difficult for patients to be randomised to the old standard arm.",DAI475
2,17.b,[with trail b do you think it could be included in esmo?] it is not the stringest evidence and [maybe?] yeah I would think so.,DAI475
2,18.a,"It depends on pretreatment and it depends on how high the HER2 positivity was. If possible and it is easy and out of some coincident I do another gastroscomy and biopsy and I see that the tumour is still highly HER2 positive then it is a strong argument for using the product [all of them?] if the tumour was only low HER2 positive in the first line setting even and the patient already ahs some pulmonary problems I would rather use paclitaxel ramucirmumab and keep product x maybe for the 3L. In percentage, it is sort of 50 - 50. In 50% I would probably try and use it to get experience with the product as well and in the other 50% I would say I stick with the well-known paclitaxel ramucirumab and have this perhaps as an option for later [3L?] yeah then I would use it in 3L. [there more?] yes. I think if the drug is so convincing that I would either if the patient is HER2positive then I would give it a try in the 2L or 3L. But every HER2 positive patient I would think to give this product at one or the other line.",DAI475
2,176,"Just a quick mention of this big issue of rebiopsying the tumour. We know that patients who are HER2 positive prior to the 1L treatment if they get progressive disease after being treated with trastuzumab we know that more or less 60% of patients have lost the HER2 positivity. SO in 2L if you dont retest for HER2 positivity the chances are only 30% that the patient is still HER2 positive. and in trial B every patient was retested prior to giving the drug product x and only HER2 positive patients prior to this treatment in the 2L they were treated but now there are data that the drug product x even has some activity in HER2 low expressers and the registration is for HER2 low also. and you don't need to retest it in gastric cancer to give it in 2L setting so there is still this uncertainty whether we reproduce the results of trial b with overall response rate of 40% if we just give it to everybody who just was HER2 positive in 1L because that is not the same population as in trial b. that is another argument, that is why we dont give it to everybody in 2L setting. It is a but complicated but time will show. [her2 low in gastric too?] There is one trial which investigated the subpopualtion and there was some activity in her2 low gastric cancer too. but the data is only very small but it points at it that there is also some activity in HER2 low gastric cancer because of the bystander effect.",DAI475
3,1,"In Spain aproximately 5000 advanced gastric cancer per year are diagnosed.
1000 aprox. Her2+.
50-60% second line (500 patients)
30 % third line (300 patients) (from WS) ---- [you were saying around 1000 her2 positive, 50-60% 2L, and 30% 3L, generally aligned?] I think your data is more or less correct. 100 more or less because last studies in Spain are talking about more or less 7k diagnosis of gastric cancer, so more or less around 70% of them become metastatic or advance disease at any time so we should consider more or less 5k people per year with metastatic disease. 20% would be HER2-positive that is 100 and then we could consider those that are the bars you mentioned.",DAI475
3,1.a,Already answered. Stimations are correct considering ranges. (from WS),DAI475
3,2.a,"[3 for 2L 4 and 3L+],3,3,4",DAI475
3,2.b,"absolutely speculative (from WS) ---- I have played the game you proposed but I don't really know exactly with what you meant with clinical burden because it is not already standarised in GC. GC is a devastating disease, people become very symptomatic, their nutrition is a clinical common problem. Metastatic disease may be from the lymph nodes, may be from the peritoneal spread, may be from liver metastases and the impact on the symptoms of the patient is very variable. But we assume that based on the 1L would be from a 2-3 impact of burden of disease, in 2L there would be progression  from 1L so that there would be more disease at that diagnosis [Note: last part of sentence not quite clear from recording, around 4:00]. And maybe in 3L they would be in 3-4 or maybe because theya are even progression more. And maybe considering that 5 would be almost in the moment of death that was my logic for answering that question.",DAI475
3,2.c,"These patients have too many problems. Apart from metastatic locations, this was maybe when the primary tumour was not operated that is then chronic disease. The primary tumour might be symptomatic and that is a big problem because maybe the patient does not have a vey high burden of metastatic disease but the primary tumour is causing problems and that may interrupt your treatment, make a patient condition very difficult to follow in the course of the treatment for advanced disease. And the other problem would be the peritoneal spread. I mean in GC with peritoneal spread is a very ...(cannot make out, 05:13) scenario. It may coincide with metastatic disease in the liver or lymphnodes, or even be isolated. But when peritoneal spread is causing symptoms, maybe obstructions, maybe pain, maybe subobstructions(?) that complicated all because it causes the patient to be admitted to the hospital, their nutrition, poor condition. So when you are considering in a palliative setting, prolonging life with quality of life it is very difficult to find quality of life with a very symptomatic peritoneal spread.",DAI475
3,3,"Well I mean maybe you tend to see that the economic burden is most related to the antineoplastic treatment but I think GC is is becoming more like colon cancer at least that is the tendency where I am. So you have more many procedures participating and all the departments we are performing surgeries of the primary tumour sometimes even in advanced disease we are performing surgery not even in metastiatic disease. We are asking the digestive system specialist to do some stenting, we are making some other procedures. Patients are even admitted in the intensive care unit, we are making a very important nutritional support and supplements and nutrition are also expensive, the demanding in consultants are increasing and I would say it is obvious the antineoplastic treatment is a main part of the economic cost but it is not absolutely the only part of the economic cost.",DAI475
3,3.a,"I would say roughly I am making calculation, and I think we should do it even in a public health system as the one I mainly work in, you should make your calculations on the quality of life year gained cost. So that becomes more difficult to be justified when you are reaching 2L and 3L because QoL is more important and the difficult for the treatment to gain that QoL year gainedis more important. So you are looking maybe deeper into the cost so to justify that you are doing okay. ,3,3,2",DAI475
3,4,1,DAI475
3,4.a,"[it might differ a bit] I mean not that much. We for very advanced GC perform HER2 testing, we perform PDL1 CPS, we perform protein expression in assay or defective protein expression (?). So when patients are HER2 we are going for combination with ChT with trastuzumab, when patient is MSI we consider immunotherapy and ChT and when patient is CPS more than 5 we go for immunotherapy with ChT and you know there are situations where we use doublet therapy. Once the patient is progression our standard 2L is paclitaxel ramucirumab and when there are contraindications for ChT we would use ramucirumab, when there are contraindications for any antiangiogenic   for ramucirumab we would consider taxanes or irinotecan. We would not use pembrolizumab in 2L, it is not already approved in Spain, we would consider in MSI I would ask for 1L to be used with combination chemotherapy and in the third line our standard treatment would be trifluridine-tipiracil even and this is extraordinary situation we would consider ay further line with irinotecan if a patient preserved the peformance status. [3L Lonsurf?] Yes [ mainly lonsurf and then sometimes taxan and irino?] Yes mainly irinotecan because taxane we use in the 2L combination with ramucirumab. Some specific very very rare times we use docetaxel after paclitaxel in 2L but it is not common.",DAI475
3,4.c,"Well I would say now there are some changes coming, I think we will identify some more specific molecular subgroups apart from the HER2 positive patients because we know that there are some molecular subgroups in GC but we have no got any targeted agents for those molecular subgroups. Just recently we have a new group the Claudin-positive group and there is a drug which has some efficacy in a Ph3 clinical trial the spotlight. In the near future we have another trial the Globe (?) that I hope will show us the efficacy of zolbetuximab (?) against claudin-positive gastric cancer. So that will be a new subgroup like the HER2-positive patients and they will receive ChT plus zolbetuximab. I think we must improve the predictive markers for the immunotherapy. we are now using CPS PDL1 but I think we should strive to finding a combination predictive biomarkers that allow us to know what patients are get the most benefit of ChT. And I think for the 2L we should consider evaluating again the biological and molecular status of the patient. There has been a fairly (cannot make out 13:10) anti-HER2 treatments in 2L for HER2-positive patients but we now know that some patients lose their HER2 positivity in 2L so we should again test because there is a clonal evolution in most GC so they may change in 30-60% of the patients that has molecular markers estalished when they are exposed to 1L treatment. So we should consider (cannot make out) what this is when we go to 2L and there we should consider maybe those molecular targets it may use them that molecular status maybe with a liquid biopsy maybe easier to do than taking a sample or biopsy from the patient and then I would consider also for 3L and other ones. And also as I said I think there are some patients now with better treatments with the introduction of immunotherapy either for HER2 positive or HER2-negative and we will having more responses and we may have some opportunity for making some surgery with some survival benefit for patients.",DAI475
3,5,"[what are key unmet needs] Well as I said I think we know that from anti-HER2 treatment combination are increasing responses in 1L but we didn't (?15:00) get that benefit in survival. In the near future it is already in the USA but not yet in Europe we may have the immunotherapy combination with a HER2-positive in 1L. i think that will change the landscape because it seems that the synergistic effect of the anti-HER2 therapy and the immunotherapy is very big and patients have a much greater survival in that scenario. And as I said we should consider evaluating again the HER2 status when patients have progressed into 1L before considering any treatment in 2L and so there might be an option for anti-HER2 therapy , it may be combined with ChT or only one compound, there are some vaccines coming maybe in combination with immunotherapy so I think that is an open space we must be broad minded and this HER2 population should be tested in order to evaluate what mechanisms of resistance they have, if they do not reserve the HER2 positivity status and what other targets we should target some therapies.",DAI475
3,5.a,"5,5,5",DAI475
3,6,"I have got mainly two of them. Those are the tucatinib and trustuzumab deruxtecan. For tucatinib we know that there are some results from colon cancer, I read today I think that there is a recent FDA approval of the combination of tucatinib and trustuzumab for colon cancer HER2 positive so that implies that it is being developed for a long time in colon cancer and might have a role also in GC and obviously the one we have more information on recently is trastuzumab deruxtecan. We have already an EMA approval with Ph2 clinical trial also with no comparator arm and even when there is a Ph3 tial ongoing in 2L which is being compared to the supposed standard paclitaxel ramucirumab so I think that is a change in the attitude of the EMA becuase with a Ph2 only one arm it was decided for an approval in that indication. [sort of seen that, your perceptons around EMA trial] I think there are coming more and more scenarios where maybe with Ph2 clinical trial results you will have to decide wether to approve or not. But what surprises me is that the drug is already doing a Ph3 clinical trial for that indication so it seems surprising that when the laboratory itself has onsidered that they should do this Ph3 clinical trial in order to confirm these results and to show  their superiority against the standard arm the regulatory agency has considered that they alreayd have enough results to be approved. So it sounds bizarre.",DAI475
3,7,"Well I think they may go for a fourth treatment combo because we are now seeing that trastuzumab is having some synergistic effect with immunotherapy, we know also some antiangiogenic agents have some synergistic effect with immunotherapy, we know antiangiogenic treatments work well with ChT with paclitaxel ramucirumab for example, we know that ChT works well with trastuzumab and also with immunotherapy so why not may w consider in the future using  immunotherapy combined with chemotherapy combined with anti-HER2 and even combined with antiangiogenic. I think we will shift from double to triplet and even start to test a four combination. mostly considered that combinations may be tolerable even in a 2L treatment for advanced GC. [for IO combination would that still be if therapy in 1L include it as a combo in 2L?] We know normally that for ChT although there are some exceptions, we change the ChT combo when we go from 1L to 2L. But first we know that maintaining some antiangiogenic agents from 1L to 2L may be of benefit. and there is something we havn't tested and that is the maintanece of immunotherapy in 2L once the patient has progressed through immunotherapy in 1L. But we know that immunotherapy has a benefit beyon progression in 1L because patients still get benefits from the 1L treatment in the 2L even without immunotherapy in the second line. Now that immunotherapy has come to 1L I think there will be some trials testing the impact of sustaining immunotherapy in 2L. I think that will be a new question to answer.",DAI475
3,8,In 3L as I said we should again test for HER2 and if the patient is sustaining HER2 positivity then we may consider sustaining some anti-HER2 therapy. And depending on the 2L treatments treatments that are now considered 2L now may move to 3L and the one in the 3L may shift and go to 4L. That may be the logical movement.,DAI475
3,10,"Well in the trial A which would be a trial to compared to 2 arms  I see no reason why the comparator should be irinotecan or paclitaxel once we are considering that the treatment is in 3L we know that these treatments are not the standard in 3L. And for that patients we should consider what they are receiving in 2L, typical 2L should be paclitaxel ramucirumab and you are considering as another choice for physicians paclitaxel. I have also not read that there is testing for HER2 positivity for study entry. I think that is also very important. The trail A is in Asian population so this is the trial with 2 arms that would not be applicable to some Western populatons because now we know the Asian population and the EMA is not considerig only Asian results regarding advanced GC so that is something we should take into account. I find its its normal to consider a response rate when coming from a PH2 clinical trial in bith cases trial A and trial B, I don;t know what is the grounding for considering 15% for the physicians choice irinotecan or paclitaxel in 3L is unexpected result. I cannot see the reference and the same goes for the mOS and PFS for the comparator arms of the physician's choice and hence I would say it would be spectacular to have a drug in 3L having 50% ORR as is expected in trial A and even 12.5 mo OS which until 3mo ago was the mOS for patients from 1L so that is spectacular. and PFS of 5.5mo so you are even having 7 months of survival after progressing to 3L so that sounds something also strange to me. And the problem with trial B is it is a proof of concept and in 2L I don't know how you can match that you are expecting in 3L 50% overall responses and in 2L 40% of responses and no difference in OS and PFS even though you are considering different populations, Eastern and Western population but you are considering 3L vs 2L , trial a and trial b so it sounds not very common to have so similar expected results in different lines in both trials  [irino numbers higher ?] I do not expect, I have not experience I have no data to consider that, to me a patient in 3L having 8.5 mo of survival is not common. I mean patients in a recent trial the one of Claudin I was talking about before the control arm was ...( cannot make out 30:25) ChT with placebo in 1L the OS is 15 mo. So considering that patients from 3L are living 8.5 mo is that in there is in 1 and 2L it is 7 mo and in 3L they live 8mo that seems to be not logical. And also that patients are progressing in 3.5 mo after receiving 3L, once 3L has got a failure they survive 5 mo more, something strange. because they are supposed to not receive any further line, that would be 4L, there is not approved 4L and maybe there are no drugs to be given anymore and maybe the patient is surviving 5 mo with only palliative treatment without antineoplastic teatment only BSC that is a long time to me for a GC.",DAI475
3,11.c,I would necessary ask for some Western population data. I mean even a trial with a certain amount of patients from a Western population 20/30% of patients or even a trial that is specific for Western population because we absolutely know that gastric cancer is differentt in Asian population to Western population.,DAI475
